CourseID,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
AAE20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAE20300,0.0,129.0,0.0,0.0,188.0,0.0,0.0,65.0,0.0,0.0,13.0,0.0,7.0
AAE20400,7.0,14.0,10.0,17.0,12.0,6.0,11.0,5.0,6.0,1.0,3.0,0.0,2.0
AAE20401,0.0,107.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
AAE25100,9.0,61.0,113.0,33.0,20.0,11.0,5.0,1.0,2.0,2.0,2.0,1.0,0.0
AAE30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAE30100,23.0,59.0,37.0,44.0,24.0,12.0,5.0,6.0,3.0,4.0,1.0,2.0,6.0
AAE33300,12.0,47.0,27.0,49.0,48.0,32.0,23.0,10.0,8.0,0.0,0.0,0.0,6.0
AAE33301,100.0,94.0,29.0,12.0,7.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0
AAE33400,28.0,23.0,10.0,11.0,4.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0
AAE33800,1.0,6.0,4.0,6.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0
AAE33900,0.0,9.0,10.0,8.0,15.0,24.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0
AAE34000,3.0,81.0,0.0,0.0,42.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,2.0
AAE35103,14.0,63.0,18.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
AAE35200,0.0,62.0,0.0,0.0,123.0,0.0,0.0,35.0,0.0,0.0,6.0,0.0,5.0
AAE36400,26.0,68.0,0.0,0.0,30.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0
AAE36401,0.0,192.0,0.0,0.0,18.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0
AAE39699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAE40000,27.0,160.0,0.0,0.0,33.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0
AAE41200,1.0,19.0,17.0,15.0,9.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0
AAE41800,0.0,47.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AAE42100,19.0,42.0,0.0,0.0,22.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0
AAE43900,0.0,8.0,10.0,20.0,19.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0
AAE44000,8.0,12.0,0.0,0.0,14.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,3.0
AAE45000,0.0,31.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AAE45100,1.0,26.0,16.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAE50800,2.0,75.0,0.0,0.0,21.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0
AAE51100,6.0,20.0,16.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAE53200,3.0,17.0,5.0,7.0,18.0,13.0,1.0,9.0,3.0,0.0,1.0,0.0,2.0
AAE53400,9.0,13.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AAE53800,7.0,16.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAE54600,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AAE54800,1.0,9.0,4.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAE55000,14.0,59.0,23.0,15.0,11.0,5.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0
AAE55300,1.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
AAE55800,7.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAE56100,0.0,37.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
